;ID;Materia;Link
60;3258;Gestão da Inovação e Ferramentas Digitais (11100010121_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3258_1&handle=announcements_entry&mode=view
61;3259;Gestão da Inovação e Ferramentas Digitais (11100010330_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3259_1&handle=announcements_entry&mode=view
62;3260;Gestão da Inovação e Ferramentas Digitais (11100010330_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3260_1&handle=announcements_entry&mode=view
63;3261;Gestão da Inovação e Ferramentas Digitais (11100010330_20221_03) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3261_1&handle=announcements_entry&mode=view
64;3265;Gestão de Negócios (11100010649_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3265_1&handle=announcements_entry&mode=view
65;3266;Gestão de Projetos de TI (11100010690_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3266_1&handle=announcements_entry&mode=view
66;3267;Gestão de Projetos em Computação (11100010555_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3267_1&handle=announcements_entry&mode=view
67;3271;História e Cultura Africana, Afro-Brasileira e Indígena (11100010257_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3271_1&handle=announcements_entry&mode=view
68;3273;História e Cultura Africana, Afro-Brasileira e Indígena (11100010257_20221_04) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3273_1&handle=announcements_entry&mode=view
69;3274;Inovações em Estética Facial (11100010825_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3274_1&handle=announcements_entry&mode=view
70;3278;Introdução à Filosofia (11100010588_20221_03) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3278_1&handle=announcements_entry&mode=view
71;3280;Legislação para Estabelecimentos de Estética e Direitos Básicos do Consumidor (11100010754_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3280_1&handle=announcements_entry&mode=view
72;3281;Leitura e Escrita Acadêmica (11100010135_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3281_1&handle=announcements_entry&mode=view
73;3283;LIBRAS (Língua Brasileira de Sinais) (11100010251_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3283_1&handle=announcements_entry&mode=view
74;3287;Matemática Aplicada à Computação (11100010559_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3287_1&handle=announcements_entry&mode=view
75;3289;Materiais e Tecnologias Construtivas (11100010854_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3289_1&handle=announcements_entry&mode=view
76;3290;Materiais Metálicos (11100010973_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3290_1&handle=announcements_entry&mode=view
77;3291;Mercado de capitais (11100010155_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3291_1&handle=announcements_entry&mode=view
78;3292;Método da Pesquisa Científica em Ciências da Religião (11100010445_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3292_1&handle=announcements_entry&mode=view
79;3298;Microbiologia e biossegurança (11100010755_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3298_1&handle=announcements_entry&mode=view
80;3299;Microbiologia e biossegurança (11100010755_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3299_1&handle=announcements_entry&mode=view
81;3301;Microbiologia e Biotecnologia (11100011006_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3301_1&handle=announcements_entry&mode=view
